OrderID,Sales_Regression_Predict,Product,ABC_Product,OrderDate,Month,Year,CustomerID,EmployeeID,ShipperID,ProductID,Sales,Costs,Profit,Quantity,Discount,Freight,CategoryID,Category,Description,Supplier,SupplierContact,SupplierCountry,SupplierID,Extension,EmployeeName,ManagerName,Hire Date,Office,Title,Year Salary,ReportsTo,RFM_Value
10248,457.35596554985,Desperado Jeans,B,10.01.2012,10,2012,4,2,2,11,343.44,284.37,59.07,12,0,43.48,1,Men's Clothes,Fashion for Men,Los Hombres Machos,Antonio Banderas,Spain,5,101,Elvis Presley,__,09.14.1993,1,President,80000,0,1
10248,720.628377329851,Balett Shoes,B,10.01.2012,10,2012,4,2,2,42,140.4,116.25,24.15,10,0,43.48,5,Ladies'Footwear,Ladies Shoes,Asin Fashion Ltd Co,Li Chi Mihn,Singapore,20,101,Elvis Presley,__,09.14.1993,1,President,80000,0,1
10248,1154.56603768174,Rossi Shorts,C,10.01.2012,10,2012,4,2,2,72,63.55,52.62,10.93,5,0,43.48,4,Bath Clothes,Beachwear,Ravenna Fashion,Pablo Rossi,Italy,14,101,Elvis Presley,__,09.14.1993,1,President,80000,0,1
10249,429.330589533515,Kool Sunglasses,B,10.01.2011,10,2011,79,7,2,14,205.2,169.91,35.29,9,0,29.2,7,Children's wear,3-15 Years,SatSUMAs,Hirosho Tayoto,Japan,6,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,2
10249,955.938192748407,Snake Boots,A,10.01.2011,10,2011,79,7,2,51,4048,3642.67,405.33,40,0,29.2,6,Men's Footwear,Men Shoes,Cangaroo Shoes,Crocodile Dundee,Australia,24,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,2
10250,597.047526960887,Duck Shirt,B,10.05.2012,10,2012,34,2,2,41,95.9,79.41,16.49,10,0,79.17,8,Babywear,0-3 Years,Mayflower,Ray Bourke,USA,19,101,Elvis Presley,__,09.14.1993,1,President,80000,0,2
10250,802.994684357529,Snake Boots,A,10.05.2012,10,2012,34,2,2,51,3931.22,2830.48,1100.74,35,512.77,79.17,6,Men's Footwear,Men Shoes,Cangaroo Shoes,Crocodile Dundee,Australia,24,101,Elvis Presley,__,09.14.1993,1,President,80000,0,2
10250,1135.45761955396,Stretch oui-pants,C,10.05.2012,10,2012,34,2,2,65,163.36,117.62,45.74,15,21.31,79.17,2,Womens wear,Fashion for Women,Big L,James Brown,USA,2,101,Elvis Presley,__,09.14.1993,1,President,80000,0,2
10251,608.800620397872,Ravellis Traskor,C,03.04.2012,3,2012,1,7,2,22,21.36,16.84,4.52,6,1.02,43.41,5,Ladies'Footwear,Ladies Shoes,Goa Klader,Tomas Ravelli,Sweden,9,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,4
10251,1072.15033471287,Burned Rubber Shoes,C,03.04.2012,3,2012,1,7,2,57,332.64,288.14,44.5,15,15.84,43.41,5,Ladies'Footwear,Ladies Shoes,Pirilli Company,Alberto Tomba,Italy,26,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,4
10251,1288.40112794483,Stretch oui-pants,C,03.04.2012,3,2012,1,7,2,65,185.2,156.44,28.76,20,0,43.41,2,Womens wear,Fashion for Women,Big L,James Brown,USA,2,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,4
10252,594.707615244449,Tennis Suit,A,07.06.2012,7,2012,76,5,1,20,3189.06,2514.8,674.26,40,151.86,23.2,3,Sportwear,Sports…,Hot Pants,David Leg,UK,8,302,Ingrid Hendrix,Joan Callins,10.17.1995,3,Sales Representative,61300,4,1
10252,766.808937704306,Car Boots,B,07.06.2012,7,2012,76,5,1,33,620.55,489.35,131.2,25,29.55,23.2,3,Sportwear,Sports…,Bar Akeri,Atle Skardal,Norway,15,302,Ingrid Hendrix,Joan Callins,10.17.1995,3,Sales Representative,61300,4,1
10252,1124.25014589016,Game Over T-Shirt,C,07.06.2012,7,2012,76,5,1,60,182,150.7,31.3,40,0,23.2,3,Sportwear,Sports…,FrisersAfrong,Yannik Noah,France,28,302,Ingrid Hendrix,Joan Callins,10.17.1995,3,Sales Representative,61300,4,1
10253,642.373645448062,Rossi Bermuda Shorts,B,10.07.2012,10,2012,34,3,2,31,165.6,140.57,25.03,20,0,66.54,4,Bath Clothes,Beachwear,Ravenna Fashion,Pablo Rossi,Italy,14,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,2
10253,821.843676312419,Terence Top,A,10.07.2012,10,2012,34,3,2,39,2433.9,2015.27,418.63,42,0,66.54,2,Womens wear,Fashion for Women,Like Paradis,Vanessa Paradis,France,18,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,2
10253,917.44854660624,Finnish Sport Blades,C,10.07.2012,10,2012,34,3,2,49,796.4,659.42,136.98,40,0,66.54,3,Sportwear,Sports…,Nordik Koskenkorva,Juha Mieto,Finland,23,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,2
10254,629.457288009707,Samba Socker  Socks,C,04.08.2011,4,2011,19,2,2,24,77.97,56.14,21.83,15,10.17,49.18,1,Men's Clothes,Fashion for Men,Samba,Ronaldinho,Brazil,10,101,Elvis Presley,__,09.14.1993,1,President,80000,0,4
10254,966.291224524921,Feiss Fleece Trousers,A,04.08.2011,4,2011,19,2,2,55,984.35,708.73,275.62,21,128.39,49.18,3,Sportwear,Sports…,Mountain International,Celine Dion,Canada,25,101,Elvis Presley,__,09.14.1993,1,President,80000,0,4
10254,1070.70087711121,Nikee Running Shoes,B,04.08.2011,4,2011,19,2,2,74,617.4,511.21,106.19,21,0,49.18,7,Children's wear,3-15 Years,Nitsuchiba,James Sushi,Japan,4,101,Elvis Presley,__,09.14.1993,1,President,80000,0,4
10255,460.563702867267,Mr X Trousers,A,09.09.2012,9,2012,68,6,1,2,342.4,283.51,58.89,20,0,43.89,1,Men's Clothes,Fashion for Men,Sunny Clothes,Peter Shilton,UK,1,401,Lennart Skoglund,Joan Callins,01.17.1994,4,Sales Representative,61200,4,1
10255,572.342063858053,Wimbledon T-Shirt,B,09.09.2012,9,2012,68,6,1,16,320.95,265.75,55.2,35,0,43.89,3,Sportwear,Sports…,New Balls,Pat Cash,Australia,7,401,Lennart Skoglund,Joan Callins,01.17.1994,4,Sales Representative,61200,4,1
10255,653.209517342875,Mehmet-Troja,C,09.09.2012,9,2012,68,6,1,36,194.25,160.84,33.41,25,0,43.89,8,Babywear,0-3 Years,ABC,Anna Book,Sweden,17,401,Lennart Skoglund,Joan Callins,01.17.1994,4,Sales Representative,61200,4,1
10255,1141.60028430219,Rasta WCT,B,09.09.2012,9,2012,68,6,1,59,234.9,198.24,36.66,30,0,43.89,3,Sportwear,Sports…,FrisersAfrong,Yannik Noah,France,28,401,Lennart Skoglund,Joan Callins,01.17.1994,4,Sales Representative,61200,4,1
10256,1007.18356203842,Jumpin Jack Flash Dress,A,10.11.2011,10,2011,19,3,2,53,907.95,751.78,156.17,15,0,22.56,2,Womens wear,Fashion for Women,Cangaroo Shoes,Crocodile Dundee,Australia,24,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,4
10256,1324.90908042585,Skirt,B,10.11.2011,10,2011,19,3,2,77,162,134.14,27.86,12,0,22.56,2,Womens wear,Fashion for Women,Austerlich,Karl Heinz Berger,Germany,12,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,4
10257,809.732364820151,Tracksuit,B,10.12.2011,10,2011,35,9,2,27,1077.25,891.96,185.29,25,0,33.98,3,Sportwear,Sports…,Der Bahnhof,Karl Straubaum,Germany,11,103,Helen Brolin,Joan Callins,02.15.1995,1,Sales Representative,60000,4,3
10257,1005.37588638147,Terence Top,A,10.12.2011,10,2011,35,9,2,39,329.04,272.71,56.33,6,0,33.98,2,Womens wear,Fashion for Women,Like Paradis,Vanessa Paradis,France,18,103,Helen Brolin,Joan Callins,02.15.1995,1,Sales Representative,60000,4,3
10257,1508.4412904949,Skirt,B,10.12.2011,10,2011,35,9,2,77,192.6,159.47,33.13,15,0,33.98,2,Womens wear,Fashion for Women,Austerlich,Karl Heinz Berger,Germany,12,103,Helen Brolin,Joan Callins,02.15.1995,1,Sales Representative,60000,4,3
10258,491.152404545443,Mr X Trousers,A,10.14.2012,10,2012,17,7,2,2,1201.2,828.83,372.37,50,200.2,68.14,1,Men's Clothes,Fashion for Men,Sunny Clothes,Peter Shilton,UK,1,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,2
10258,530.868094343871,O-Man Underwear,C,10.14.2012,10,2012,17,7,2,5,478.14,344.26,133.88,65,79.69,68.14,1,Men's Clothes,Fashion for Men,Big L,James Brown,USA,2,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,2
10258,777.967015426907,Rossi Bikkini,C,10.14.2012,10,2012,17,7,2,32,139.32,100.31,39.01,6,23.22,68.14,4,Bath Clothes,Beachwear,Ravenna Fashion,Pablo Rossi,Italy,14,201,Tom Lindwall,Joan Callins,11.22.1995,2,Sales Representative,61000,4,2
10259,546.768775154241,Basket Shoes,B,10.15.2010,10,2010,13,3,2,21,101.4,87.61,13.79,10,0,30.11,3,Sportwear,Sports…,Hot Pants,David Leg,UK,8,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,2
10259,574.681975574491,Mehmet-Skor,C,10.15.2010,10,2010,13,3,2,37,4.37,3.78,0.59,1,0,30.11,8,Babywear,0-3 Years,ABC,Anna Book,Sweden,17,102,Rob Carsson,Joan Callins,10.01.1994,1,Sales Representative,63000,4,2
10260,780.57973702994,Duck Shirt,B,03.15.2012,3,2012,56,8,2,41,200.4,138.52,61.88,16,40.08,56.99,8,Babywear,0-3 Years,Mayflower,Ray Bourke,USA,19,202,Leif Shine,Elvis Presley,03.05.1994,2,Sales Coordinator,65000,2,1
10260,1102.73903639105,Burned Rubber Shoes,C,03.15.2012,3,2012,56,8,2,57,929,802.66,126.34,50,0,56.99,5,Ladies'Footwear,Ladies Shoes,Pirilli Company,Alberto Tomba,Italy,26,202,Leif Shine,Elvis Presley,03.05.1994,2,Sales Coordinator,65000,2,1
